調查時間,調查項目,單位,北區,中區,南區,花蓮,台東
11504,產品，鋼筋，SD280，熱軋，D10mm，工地交貨,T,19250,19200,18833 ,,
11504,產品，鋼筋，SD280，熱軋，D16mm，工地交貨,T,18900,18900,18433 ,,
11504,產品，鋼筋，SD280W，熱軋，D10mm，工地交貨,T,19450,19400,19067 ,,
11504,產品，鋼筋，SD280W，熱軋，D16mm，工地交貨,T,19100,19100,18667 ,,
11504,產品，鋼筋，SD420W，熱軋，D32mm，工地交貨,T,20000,19900,19500,,
11504,產品，鋼筋，SD420W，熱軋，D36mm，工地交貨,T,20400,20300,19900,,
