縣市,砂價格區間,石價格區間,單位,更新時間
桃園市 450-480 430-460 ,450-480,430-460,元/公噸,11505
苗栗縣 435-480 415-440 ,410-450,390-410,元/公噸,11505
台中市 430-480 370-420 ,430-480,370-420,元/公噸,11505
南投縣 330-355 280-305 ,330-355,280-305,元/公噸,11505
屏東縣 275-305 275-290 ,275-305,275-290,元/公噸,11505
宜蘭縣 390-420 340-370 ,390-420,330-360,元/公噸,11505
花蓮縣 280-320 250-270,280-310,250-270,元/公噸,11505
