調查時間,調查項目,單位,北區,中區,南區,花蓮,台東
11504,產品，結構用鋼材，熱軋型鋼，H型鋼，(H400×B400，t1=13mm，t2=21mm),T,30833 ,28400 ,26700 ,,
11504,產品，結構用鋼材，熱軋型鋼，H型鋼，(H700×B300，t1=13mm，t2=24mm),T,30933 ,28500 ,26700 ,,
11504,產品，結構用鋼材，熱軋型鋼，H型鋼，(H800×B300，t1=14mm，t2=26mm),T,31233 ,29400 ,26700 ,,
