region,region_group,region_level
中區,中,region
南投縣,中,county
台中市,中,county
苗栗縣,中,county
不分區,全國,national
北區,北,region
宜蘭縣,北,county
桃園市,北,county
南區,南,region
屏東縣,南,county
台東,東,region
花蓮,東,region
花蓮縣,東,county
