period,period_roc,period_date,material,item_name,unit,region,region_group,region_level,price_basis,source_dataset,price,price_min,price_max,source_file
103-01,10301,2014-01-01,瀝青混凝土,"產品,柔性鋪面,柏油鋪面,針入度60~70",,北區,北,region,exact,價格趨勢PDF,25000.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,柔性鋪面,柏油鋪面,針入度60~70",,南區,南,region,exact,價格趨勢PDF,25000.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,柔性鋪面,柏油鋪面,針入度60~70",,台東,東,region,exact,價格趨勢PDF,25000.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,柔性鋪面,柏油鋪面,針入度60~70",,花蓮,東,region,exact,價格趨勢PDF,25000.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,柔性鋪面,柏油鋪面,針入度85~100",,中區,中,region,exact,價格趨勢PDF,24700.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,柔性鋪面,柏油鋪面,針入度85~100",,北區,北,region,exact,價格趨勢PDF,24700.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,柔性鋪面,柏油鋪面,針入度85~100",,南區,南,region,exact,價格趨勢PDF,24700.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,柔性鋪面,柏油鋪面,針入度85~100",,台東,東,region,exact,價格趨勢PDF,24700.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,柔性鋪面,柏油鋪面,針入度85~100",,花蓮,東,region,exact,價格趨勢PDF,24700.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,瀝青混凝土鋪面,(第1類型,底層粗級配),粗粒料19mm,拌合廠交貨",,中區,中,region,exact,價格趨勢PDF,2600.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,瀝青混凝土鋪面,(第1類型,底層粗級配),粗粒料19mm,拌合廠交貨",,北區,北,region,exact,價格趨勢PDF,3020.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,瀝青混凝土鋪面,(第1類型,底層粗級配),粗粒料19mm,拌合廠交貨",,南區,南,region,exact,價格趨勢PDF,2420.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,瀝青混凝土鋪面,(第1類型,底層粗級配),粗粒料19mm,拌合廠交貨",,台東,東,region,exact,價格趨勢PDF,2500.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,瀝青混凝土鋪面,(第1類型,底層粗級配),粗粒料19mm,拌合廠交貨",,花蓮,東,region,exact,價格趨勢PDF,3050.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,瀝青混凝土鋪面,(第2類型,底層粗級配),粗粒料25mm,拌合廠交貨",,中區,中,region,exact,價格趨勢PDF,2450.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,瀝青混凝土鋪面,(第2類型,底層粗級配),粗粒料25mm,拌合廠交貨",,北區,北,region,exact,價格趨勢PDF,2910.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,瀝青混凝土鋪面,(第2類型,底層粗級配),粗粒料25mm,拌合廠交貨",,南區,南,region,exact,價格趨勢PDF,2370.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,瀝青混凝土鋪面,(第2類型,底層粗級配),粗粒料25mm,拌合廠交貨",,台東,東,region,exact,價格趨勢PDF,2260.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,瀝青混凝土鋪面,(第2類型,底層粗級配),粗粒料25mm,拌合廠交貨",,花蓮,東,region,exact,價格趨勢PDF,2810.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,砂石,"產品,粒料、粗粒料,25~4.75mm,砂石廠交貨",,中區,中,region,exact,價格趨勢PDF,530.0,,,砂石價格趨勢1030115.pdf
103-01,10301,2014-01-01,砂石,"產品,粒料、粗粒料,25~4.75mm,砂石廠交貨",,北區,北,region,exact,價格趨勢PDF,500.0,,,砂石價格趨勢1030115.pdf
103-01,10301,2014-01-01,砂石,"產品,粒料、粗粒料,25~4.75mm,砂石廠交貨",,南區,南,region,exact,價格趨勢PDF,530.0,,,砂石價格趨勢1030115.pdf
103-01,10301,2014-01-01,砂石,"產品,粒料、粗粒料,25~4.75mm,砂石廠交貨",,東區,東,region,exact,價格趨勢PDF,390.0,,,砂石價格趨勢1030115.pdf
103-01,10301,2014-01-01,砂石,"產品,粒料、粗粒料,25~4.75mm,砂石廠交貨",,花蓮,東,region,exact,價格趨勢PDF,390.0,,,砂石價格趨勢1030115.pdf
103-01,10301,2014-01-01,砂石,"產品,粒料、細粒料,(粗砂,拌合用),砂石廠交貨",,中區,中,region,exact,價格趨勢PDF,630.0,,,砂石價格趨勢1030115.pdf
103-01,10301,2014-01-01,砂石,"產品,粒料、細粒料,(粗砂,拌合用),砂石廠交貨",,北區,北,region,exact,價格趨勢PDF,590.0,,,砂石價格趨勢1030115.pdf
103-01,10301,2014-01-01,砂石,"產品,粒料、細粒料,(粗砂,拌合用),砂石廠交貨",,南區,南,region,exact,價格趨勢PDF,560.0,,,砂石價格趨勢1030115.pdf
103-01,10301,2014-01-01,砂石,"產品,粒料、細粒料,(粗砂,拌合用),砂石廠交貨",,東區,東,region,exact,價格趨勢PDF,410.0,,,砂石價格趨勢1030115.pdf
103-01,10301,2014-01-01,砂石,"產品,粒料、細粒料,(粗砂,拌合用),砂石廠交貨",,花蓮,東,region,exact,價格趨勢PDF,410.0,,,砂石價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼板,"產品,結構用鋼材,一般結構用軋鋼料,A36,25mm<T≦38mm",,中區,中,region,exact,價格趨勢PDF,20300.0,,,鋼板價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼板,"產品,結構用鋼材,一般結構用軋鋼料,A36,25mm<T≦38mm",,北區,北,region,exact,價格趨勢PDF,20300.0,,,鋼板價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼板,"產品,結構用鋼材,一般結構用軋鋼料,A36,25mm<T≦38mm",,南區,南,region,exact,價格趨勢PDF,20300.0,,,鋼板價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼板,"產品,結構用鋼材,一般結構用軋鋼料,A36,25mm<T≦38mm",,台東,東,region,exact,價格趨勢PDF,20300.0,,,鋼板價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼板,"產品,結構用鋼材,一般結構用軋鋼料,A36,25mm<T≦38mm",,花蓮,東,region,exact,價格趨勢PDF,20300.0,,,鋼板價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼板,"產品,結構用鋼材,一般結構用軋鋼料,A572Gr.50,25mm<T≦38mm",,中區,中,region,exact,價格趨勢PDF,22700.0,,,鋼板價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼板,"產品,結構用鋼材,一般結構用軋鋼料,A572Gr.50,25mm<T≦38mm",,北區,北,region,exact,價格趨勢PDF,22700.0,,,鋼板價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼板,"產品,結構用鋼材,一般結構用軋鋼料,A572Gr.50,25mm<T≦38mm",,南區,南,region,exact,價格趨勢PDF,22700.0,,,鋼板價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼板,"產品,結構用鋼材,一般結構用軋鋼料,A572Gr.50,25mm<T≦38mm",,台東,東,region,exact,價格趨勢PDF,22700.0,,,鋼板價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼板,"產品,結構用鋼材,一般結構用軋鋼料,A572Gr.50,25mm<T≦38mm",,花蓮,東,region,exact,價格趨勢PDF,22700.0,,,鋼板價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼板,"產品,結構用鋼材,銲接結構用軋鋼料,SM490A,25mm<T≦38mm",,中區,中,region,exact,價格趨勢PDF,22700.0,,,鋼板價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼板,"產品,結構用鋼材,銲接結構用軋鋼料,SM490A,25mm<T≦38mm",,北區,北,region,exact,價格趨勢PDF,22700.0,,,鋼板價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼板,"產品,結構用鋼材,銲接結構用軋鋼料,SM490A,25mm<T≦38mm",,南區,南,region,exact,價格趨勢PDF,22700.0,,,鋼板價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼板,"產品,結構用鋼材,銲接結構用軋鋼料,SM490A,25mm<T≦38mm",,台東,東,region,exact,價格趨勢PDF,22700.0,,,鋼板價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼板,"產品,結構用鋼材,銲接結構用軋鋼料,SM490A,25mm<T≦38mm",,花蓮,東,region,exact,價格趨勢PDF,22700.0,,,鋼板價格趨勢1030115.pdf
